,university,country,ror_id,country_code,latitude,longitude,main_field,period,num_pubs,num_pubs_oa,num_pubs_gold_oa,num_pubs_hybrid_oa,num_pubs_bronze_oa,num_pubs_green_oa,prop_pubs_oa,prop_pubs_gold_oa,prop_pubs_hybrid_oa,prop_pubs_bronze_oa,prop_pubs_green_oa,num_pubs_top_1,num_pubs_top_10,prop_pubs_top_1,prop_pubs_top_10,ISO-3,geometry,English Institution Name,Foundation year,Total third party funding (EURO),Total academic personnel (HC),Total students enrolled ISCED 5-7,ETER_year,ranking,English Institution Namethe,location,overall score,teaching score,research score,citations score,industry income score,intl outlook score
0,University of Graz,Austria,01faaaf77,AT,47.07778,15.449902,All sciences,2018-2021,3911.0,3011.0,1084.0,1233.0,278.0,416.0,0.769879826131424,0.277166964970596,0.315264638199949,0.0710815648171823,0.106366658143697,80.1315656565654,535.709596782052,0.0204887664680556,0.136975095060612,AUT,POINT (47.07778 15.449902),University of Graz,1585,36222669.32,2161.0,21030.149214989,2021,665.0,University of Graz,Austria,35.4,24.4,19.8,51.4,34.8,77.9
161,Università Politecnica delle Marche,Italy,00x69rs40,IT,43.6200530701942,13.5172648861867,All sciences,2018-2021,6102.0,3571.0,2000.0,470.0,390.0,711.0,0.585217961324156,0.327761389708292,0.0770239265814487,0.063913470993117,0.116519174041298,82.0575000000001,821.453099514011,0.0134476401179941,0.134620304738448,ITA,POINT (43.6200530701942 13.5172648861867),Marche Polytechnic University,1969,,863.0,15718.0,2021,717.0,Marche Polytechnic University,Italy,35.1,19.6,19.3,66.4,42.4,32.4
327,Bilkent University,Turkey,02vh8a032,TR,39.874722,32.747564,All sciences,2018-2021,2083.0,1861.0,253.0,129.0,93.0,1386.0,0.893422947671627,0.121459433509362,0.0619299087854057,0.0446471435429669,0.665386461833893,31.6508333333332,211.379303524692,0.0151948311729876,0.101478302220208,TUR,POINT (39.874722 32.747564),İhsan Doğramacı Bilkent University,1984,,734.0,11412.0,2021,621.0,Bilkent University,Turkey,35.1,24.5,21.6,50.3,53.6,63.9
427,Université de Lorraine,France,04vfs2w97,FR,48.696191,6.176398,All sciences,2018-2021,12958.0,9084.0,2587.0,2445.0,1017.0,3035.0,0.701034110202192,0.199645006945516,0.18868652569841,0.0784843340021608,0.234218243556104,186.156470695969,1637.71329869083,0.0143661422052762,0.126386270928448,FRA,POINT (48.696191 6.176398),University of Lorraine,2012,,2687.0,68794.0,2021,711.0,University of Lorraine,France,34.8,20.5,13.3,63.3,36.3,63.5
37,Åbo Akademi University,Finland,029pk6x14,FI,60.453884,22.283301,All sciences,2018-2021,3284.0,2228.0,793.0,789.0,184.0,462.0,0.678440925700365,0.241473812423873,0.240255785627284,0.0560292326431182,0.14068209500609,50.0499999999995,427.989161249503,0.0152405602923263,0.130325566762943,FIN,POINT (60.453884 22.283301),Åbo Akademi University,1918,38638215.0,589.8559000000002,5236.0,2021,603.0,Åbo Akademi University,Finland,34.7,22.4,30.0,43.4,36.9,67.1
190,Roma Tre University,Italy,05vf0dg29,IT,41.862849,12.479074,All sciences,2018-2021,4042.0,2431.0,1023.0,368.0,243.0,797.0,0.601434933201385,0.253092528451262,0.091044037605146,0.0601187530925285,0.197179614052449,52.2508333333308,462.213217636206,0.0129269750948369,0.114352602087137,ITA,POINT (41.862849 12.479074),Roma Tre University,1992,,1241.0,31381.0,2021,763.0,University of Rome III,Italy,34.4,25.3,21.8,53.9,39.9,41.6
167,Gabriele D'Annunzio University,Italy,00qjgza05,IT,42.369696,14.14793,All sciences,2018-2021,5048.0,3203.0,2004.0,367.0,363.0,469.0,0.634508716323296,0.396988906497623,0.0727020602218701,0.0719096671949287,0.0929080824088748,66.6981666666669,671.299510323353,0.0132127905441099,0.132983262742344,ITA,POINT (42.369696 14.14793),University G. d’Annunzío in Chieti-Pescara,1965,,905.0,22486.0,2021,661.0,Gabriele d‘Annunzio University,Italy,34.4,14.7,16.4,71.3,34.5,37.6
3,Johannes Kepler University Linz,Austria,052r2xn60,AT,48.335837,14.321003,All sciences,2018-2021,3499.0,2362.0,709.0,893.0,156.0,604.0,0.675050014289797,0.202629322663618,0.255215775935982,0.04458416690483,0.172620748785367,59.7549999999998,398.307836817039,0.0170777364961417,0.113834763308671,AUT,POINT (48.335837 14.321003),University of Linz,1966,61016089.32,1598.0,17240.910067832,2021,691.0,Johannes Kepler University of Linz,Austria,34.4,28.8,20.2,44.5,51.7,67.8
451,Université Clermont-Auvergne (EPE),France,01a8ajp46,FR,45.7713289084029,3.09346463754178,All sciences,2018-2021,7638.0,5630.0,2002.0,1388.0,519.0,1721.0,0.737103953914637,0.262110500130924,0.181722964126735,0.0679497250589159,0.225320764598062,110.993333333332,920.172728979577,0.0145317273282707,0.120472994105731,FRA,POINT (45.7713289084029 3.09346463754178),EPE-Université Clermont Auvergne,2016,,,,2021,640.0,University of Clermont Auvergne,France,34.3,25.6,14.7,56.0,35.1,59.8
123,The Open University,United Kingdom,05mzfcs16,GB,52.025,-0.705556,All sciences,2018-2021,3433.0,3037.0,585.0,718.0,373.0,1361.0,0.884648995048063,0.170404893678998,0.209146519079522,0.108651325371395,0.396446256918147,51.3463333333338,434.617530836729,0.0149566948247404,0.126599921595319,GBR,POINT (52.025 -0.705556),Open University,1969,28886691.48441135,5800.0,151290.0,2021,745.0,The Open University,United Kingdom,34.2,17.5,16.2,63.1,33.8,57.7
434,University of Calabria,Italy,02rc97e94,IT,39.358062,16.225557,All sciences,2018-2021,4777.0,2531.0,1598.0,290.0,154.0,489.0,0.529830437513084,0.334519572953737,0.06070755704417,0.0322378061544903,0.102365501360687,68.4152380952395,543.314415976275,0.0143217998943353,0.113735485864826,ITA,POINT (39.358062 16.225557),University of Calabria,1972,,1125.0,23770.0,2021,630.0,University of Calabria,Italy,34.1,16.0,17.7,62.9,89.0,38.8
274,University of Girona,Spain,01xdxns91,ES,41.963274,2.830405,All sciences,2018-2021,3348.0,2115.0,1007.0,333.0,127.0,648.0,0.631720430107527,0.300776583034648,0.0994623655913978,0.0379330943847073,0.193548387096774,40.1245238095243,450.348409307222,0.0119846247937647,0.134512667057115,ESP,POINT (41.963274 2.830405),University of Girona,1992,,1793.0,14560.0,2021,662.0,University of Girona,Spain,33.9,19.1,20.0,57.8,36.6,52.3
125,Nottingham Trent University,United Kingdom,04xyxjd90,GB,52.9581241537337,-1.15424343009384,All sciences,2018-2021,3860.0,3462.0,1049.0,755.0,177.0,1481.0,0.896891191709845,0.271761658031088,0.19559585492228,0.0458549222797927,0.383678756476684,55.3949999999997,564.663642625014,0.01435103626943,0.146285917778501,GBR,POINT (52.9581241537337 -1.15424343009384),Nottingham Trent University,1843,26490228.013029315,2610.0,40545.0,2021,742.0,Nottingham Trent University,United Kingdom,33.9,18.9,12.7,59.9,33.9,74.3
52,Technische Universität Braunschweig,Germany,010nsgg66,DE,52.281694,10.545907,All sciences,2018-2021,5219.0,3163.0,1404.0,854.0,240.0,665.0,0.606054799770071,0.269017053075302,0.163632879862043,0.0459858210385131,0.127419045794213,58.5323333333335,531.641517164343,0.0112152391901386,0.101866548604013,DEU,POINT (52.281694 10.545907),Brunswick University of Technology,1745,122207513.0,2826.0,16558.0,2021,791.0,TU Braunschweig,Germany,33.6,24.4,16.7,53.8,42.7,54.7
275,University of Granada,Spain,04njjy449,ES,37.184884,-3.600976,All sciences,2018-2021,12806.0,7904.0,4332.0,1005.0,632.0,1935.0,0.617210682492582,0.338278931750742,0.0784788380446666,0.0493518663126659,0.151101046384507,150.616976190477,1567.92966068301,0.011761438090776,0.122437112344448,ESP,POINT (37.184884 -3.600976),University of Granada,1531,,3778.0,49374.0,2021,664.0,University of Granada,Spain,33.6,20.1,22.8,53.4,34.5,51.0
185,University of Parma,Italy,02k7wn190,IT,44.805012,10.30851,All sciences,2018-2021,7744.0,4706.0,2497.0,670.0,634.0,905.0,0.607696280991736,0.322443181818182,0.0865185950413223,0.0818698347107438,0.116864669421488,144.876083333335,983.982176607866,0.0187081719180443,0.127063814128082,ITA,POINT (44.805012 10.30851),University of Parma,1117,,1253.0,30901.0,2021,753.0,University of Parma,Italy,33.5,18.3,19.3,61.1,38.9,39.2
